,Y,S,Noise,Denoised
3991,0.40635048700549004,5.289421773282408e-16,0.3757900553651966,0.003082623243003617
3992,0.4063266141677529,5.289337795097156e-16,0.3757316785966355,0.0030824280721151592
3993,0.4060373177160835,5.28930772789755e-16,0.3754701248179226,0.0030800631565697746
3994,0.40581969288525427,5.286902458539374e-16,0.3752940239324798,0.0030782843908795402
3995,0.40579268837356264,5.28598108786397e-16,0.37517115683034113,0.003078063683625179
3996,0.405599399345774,5.283827948203051e-16,0.3750340977954735,0.0030764840351195683
3997,0.40535433142955823,5.283514879590936e-16,0.375000756832837,0.0030744814731137526
3998,0.4053094116492205,5.282594782305542e-16,0.374700742772352,0.003074114443083983
3999,0.40520254137659817,5.282535378060833e-16,0.3744938909879886,0.0030732412660662792
4000,0.4049247179091556,5.281516294172058e-16,0.37443993529538244,0.0030709715726585586
4001,0.4046358711328475,5.280452561976154e-16,0.3742397019252377,0.003068612200557943
4002,0.40459656668477295,5.280004381561974e-16,0.37415852067676597,0.003068291181751119
4003,0.4043682717307602,5.279766156988568e-16,0.3740556829593681,0.0030664267247600932
4004,0.4042399119730605,5.278848462424697e-16,0.37378122170156725,0.0030653785315163853
4005,0.40409344695625643,5.278309445674999e-16,0.37353224569669435,0.003064182582131535
4006,0.404022457826819,5.278123787402889e-16,0.3734000186974098,0.0030636029610302128
4007,0.4038273709265722,5.277508477035329e-16,0.37320110257476513,0.003062010209749552
4008,0.40357000100131235,5.276770159364952e-16,0.37314880547010126,0.003059909227217656
4009,0.4034672315989295,5.276639824536159e-16,0.37293062874232175,0.0030590703767471986
4010,0.40327631280409443,5.276595482792589e-16,0.3726837622643745,0.003057512139415245
4011,0.4031794835106819,5.276397519110712e-16,0.3726203129226687,0.0030567219037645
4012,0.40295810334628834,5.275057467887989e-16,0.3725156928481623,0.0030549153545258007
4013,0.40271805878144956,5.273082459321918e-16,0.37233127138811106,0.00305295674979268
4014,0.40263714922326166,5.272900931927062e-16,0.3719196734436627,0.003052296640726765
4015,0.4025505690092635,5.272600681573941e-16,0.3718277990490221,0.0030515903001597203
4016,0.4024920034794731,5.272026297230742e-16,0.3717318734129731,0.003051112529011798
4017,0.40220353486389526,5.270366569863435e-16,0.3715921583242527,0.0030487594623738205
4018,0.4020918772162419,5.269471838744689e-16,0.37140047223488903,0.0030478487620139755
4019,0.40193847542527616,5.268147907442332e-16,0.3713273843191394,0.0030465976814667626
4020,0.4017571703154189,5.268000794748034e-16,0.37120156675981225,0.0030451191715202444
4021,0.4014700669435707,5.267399849078199e-16,0.3710915628605995,0.00304277820251526
4022,0.401405893249145,5.266964878867142e-16,0.37100768504548187,0.0030422549976070784
4023,0.4011985461907247,5.266656046116186e-16,0.3708328848809343,0.003040564635561958
4024,0.4010424844581842,5.266056046380099e-16,0.3707896480279696,0.0030392924975112218
4025,0.4008069477714138,5.265508706511595e-16,0.37052666029231346,0.0030373727285938307
4026,0.4006583829522145,5.264322380453055e-16,0.37038502241891164,0.0030361619635385596
4027,0.40040480865757466,5.264220033506598e-16,0.37019117057621587,0.0030340956297565487
4028,0.40030722858956025,5.264071909504362e-16,0.37013194823574946,0.0030333005441283154
4029,0.40025729986895664,5.263479433026646e-16,0.3700189112821814,0.0030328937399614793
4030,0.4000283458936831,5.263328047378462e-16,0.36967000277118206,0.0030310284367191936
4031,0.3999331081965896,5.263180935389565e-16,0.36959977736933936,0.003030252598838928
4032,0.3997390897428852,5.260274021139938e-16,0.3693432792476724,0.003028672187237788
4033,0.39957621900504003,5.259771232516393e-16,0.36923104869108914,0.0030273456264359277
4034,0.3995277364366107,5.259042673376801e-16,0.3691345923620178,0.003026950765457226
4035,0.3993679653273048,5.258888692072704e-16,0.36903284370028977,0.0030256496023797854
4036,0.3992122787940467,5.25850078301918e-16,0.36888115718533543,0.0030243818147931358
4037,0.3990065612093004,5.258090249460347e-16,0.36867688473773524,0.0030227067820110466
4038,0.3987820116775518,5.257833697870546e-16,0.36853190654491225,0.003020878630338113
4039,0.39869681385909694,5.257756911358122e-16,0.36848207218633794,0.0030201850588129028
4040,0.39849115315598876,5.257482862258949e-16,0.3683146484657804,0.0030185109676804083
4041,0.39845970819389875,5.257243247655949e-16,0.36826194233275494,0.0030182550205097264
4042,0.39831251876564333,5.256840159406958e-16,0.3680649036238163,0.0030170570271992386
4043,0.3981504550057694,5.256390561308569e-16,0.36783343494246584,0.0030157380827417453
4044,0.39774640732108385,5.256050483083983e-16,0.36777611718463804,0.003012450284138381
4045,0.3976088730343532,5.253960980210293e-16,0.36762142921749247,0.0030113313138931804
4046,0.3974674381937556,5.2538106723089e-16,0.36748933762680325,0.0030101806976765575
4047,0.3973394688881981,5.25364174517978e-16,0.3672179022870701,0.003009139705214214
4048,0.3971523385837179,5.252912652085436e-16,0.3669544941929209,0.0030076175879335467
4049,0.3969242594822256,5.252684963109937e-16,0.3667651345207639,0.0030057626058094316
4050,0.3968562986504214,5.250584613464712e-16,0.3667198097205012,0.003005209921085928
4051,0.39672881553183326,5.250512210753175e-16,0.3664677517863133,0.003004173233133623
4052,0.39663647222608667,5.250432770789727e-16,0.36632692173055975,0.0030034223463241854
4053,0.3965783940751379,5.249757577841632e-16,0.3661873053162393,0.003002950105163609
4054,0.39621142900202205,5.249338694244972e-16,0.3660389023292738,0.00299996661270536
4055,0.39617738257461627,5.244445667864383e-16,0.3658774629966599,0.0029996898396481048
4056,0.39603379589324955,5.2438007907877e-16,0.3657985262289554,0.00299852263987826
4057,0.3958665134077482,5.242636889308276e-16,0.36556802331136684,0.0029971629359031317
4058,0.3956069657282883,5.242221760379604e-16,0.36547104545818926,0.0029950535303867073
4059,0.3953546838058308,5.241745235026981e-16,0.3653121696882003,0.0029930034637439687
4060,0.39520932541538367,5.240718410703127e-16,0.36512582499890117,0.0029918223967634328
4061,0.3948986535985964,5.240642830497279e-16,0.36497386735369997,0.0029892984399065665
4062,0.39485713353498975,5.238135713531171e-16,0.3648175621506599,0.0029889611556092044
4063,0.3947126329045838,5.237878770004451e-16,0.364676030832555,0.0029877873783204947
4064,0.394527354545014,5.237514307481672e-16,0.3644843121771274,0.002986282499946929
4065,0.39436409907960585,5.236543822136696e-16,0.3643471772209823,0.0029849566237829467
4066,0.39415584654708613,5.236112891006479e-16,0.3642063269746783,0.002983265476843989
